id,group,passive_count,word_count,I_liwc,I_c,wc_c
hzez5o,dep,0,78,10,-6.49378596087457,-92.2359033371692
hzeuov,dep,0,68,8,-8.49378596087457,-102.235903337169
hzeu3x,dep,2,74,3,-13.4937859608746,-96.2359033371692
hzet6d,dep,4,343,32,15.5062140391254,172.764096662831
hzet4w,dep,5,1111,78,61.5062140391254,940.764096662831
hzet0t,dep,1,114,12,-4.49378596087457,-56.2359033371692
hzeso8,dep,0,15,1,-15.4937859608746,-155.235903337169
hzesg1,dep,0,48,10,-6.49378596087457,-122.235903337169
hzeqbv,dep,4,326,30,13.5062140391254,155.764096662831
hzeif2,dep,1,339,35,18.5062140391254,168.764096662831
hzeele,dep,1,37,7,-9.49378596087457,-133.235903337169
hze5u7,dep,0,118,24,7.50621403912543,-52.2359033371692
hzdxwf,dep,2,601,51,34.5062140391254,430.764096662831
hzdsau,dep,0,6,0,-16.4937859608746,-164.235903337169
hzdrl1,dep,0,58,4,-12.4937859608746,-112.235903337169
hzdpqo,dep,0,78,4,-12.4937859608746,-92.2359033371692
hzdn0u,dep,0,102,9,-7.49378596087457,-68.2359033371692
hzdk3i,dep,2,315,29,12.5062140391254,144.764096662831
hzdcox,dep,4,243,23,6.50621403912543,72.7640966628308
hzdc0e,dep,0,48,11,-5.49378596087457,-122.235903337169
hzdagz,dep,3,207,13,-3.49378596087457,36.7640966628308
hzda5l,dep,0,176,25,8.50621403912543,5.76409666283084
hzd7er,dep,9,1026,102,85.5062140391254,855.764096662831
hzd54e,dep,1,185,16,-0.493785960874568,14.7640966628308
hzd43x,dep,0,160,22,5.50621403912543,-10.2359033371692
hzd0ye,dep,2,244,24,7.50621403912543,73.7640966628308
hzd092,dep,0,66,9,-7.49378596087457,-104.235903337169
hzczom,dep,3,605,80,63.5062140391254,434.764096662831
hzcyi3,dep,13,1193,128,111.506214039125,1022.76409666283
hzcrps,dep,2,242,25,8.50621403912543,71.7640966628308
hzcqxu,dep,4,492,71,54.5062140391254,321.764096662831
hzclnl,dep,7,630,96,79.5062140391254,459.764096662831
hzcklu,dep,1,272,28,11.5062140391254,101.764096662831
hzckf4,dep,0,112,19,2.50621403912543,-58.2359033371692
hzcine,dep,0,43,6,-10.4937859608746,-127.235903337169
hzchx2,dep,0,74,5,-11.4937859608746,-96.2359033371692
hzcdlv,dep,0,107,14,-2.49378596087457,-63.2359033371692
hzc9i5,dep,2,101,15,-1.49378596087457,-69.2359033371692
hzc3em,dep,3,298,43,26.5062140391254,127.764096662831
hzc2wk,dep,2,275,32,15.5062140391254,104.764096662831
hzbxq2,dep,1,61,4,-12.4937859608746,-109.235903337169
hzbpn3,dep,1,156,10,-6.49378596087457,-14.2359033371692
hzboz0,dep,0,27,0,-16.4937859608746,-143.235903337169
hzbmec,dep,1,262,30,13.5062140391254,91.7640966628308
hzbjw9,dep,0,50,4,-12.4937859608746,-120.235903337169
hzbe9g,dep,0,396,47,30.5062140391254,225.764096662831
hzbd6y,dep,0,77,8,-8.49378596087457,-93.2359033371692
hzbd3z,dep,2,141,10,-6.49378596087457,-29.2359033371692
hzb8tr,dep,0,4,0,-16.4937859608746,-166.235903337169
hzb66p,dep,0,65,7,-9.49378596087457,-105.235903337169
hzb5mv,dep,1,40,7,-9.49378596087457,-130.235903337169
hzb4u4,dep,0,137,19,2.50621403912543,-33.2359033371692
hzb3q3,dep,6,670,65,48.5062140391254,499.764096662831
hzazfx,dep,0,63,5,-11.4937859608746,-107.235903337169
hzaz5z,dep,3,364,50,33.5062140391254,193.764096662831
hzayj4,dep,2,133,16,-0.493785960874568,-37.2359033371692
hzawnq,dep,0,62,2,-14.4937859608746,-108.235903337169
hzarj6,dep,0,85,15,-1.49378596087457,-85.2359033371692
hzaom5,dep,7,460,49,32.5062140391254,289.764096662831
hzamod,dep,1,184,22,5.50621403912543,13.7640966628308
hzamc0,dep,2,357,36,19.5062140391254,186.764096662831
hzalam,dep,2,288,36,19.5062140391254,117.764096662831
hzahka,dep,1,194,19,2.50621403912543,23.7640966628308
hzahdv,dep,1,110,11,-5.49378596087457,-60.2359033371692
hzah5n,dep,49,5755,577,560.506214039125,5584.76409666283
hzagl5,dep,0,52,7,-9.49378596087457,-118.235903337169
hzaf0s,dep,0,65,8,-8.49378596087457,-105.235903337169
hzabua,dep,0,169,24,7.50621403912543,-1.23590333716916
hzabcc,dep,1,170,11,-5.49378596087457,-0.235903337169162
hzabb5,dep,5,602,65,48.5062140391254,431.764096662831
hzaacw,dep,2,101,11,-5.49378596087457,-69.2359033371692
hza9zi,dep,2,125,2,-14.4937859608746,-45.2359033371692
hza8zs,dep,3,381,35,18.5062140391254,210.764096662831
hza7c7,dep,1,502,68,51.5062140391254,331.764096662831
hza61m,dep,2,160,20,3.50621403912543,-10.2359033371692
hza5o0,dep,0,14,2,-14.4937859608746,-156.235903337169
hza4oq,dep,1,27,0,-16.4937859608746,-143.235903337169
hza4ax,dep,0,35,8,-8.49378596087457,-135.235903337169
hza47f,dep,2,95,10,-6.49378596087457,-75.2359033371692
hz9yrj,dep,0,169,11,-5.49378596087457,-1.23590333716916
