state_ab,prop_boosted,mandate_type,prop_vacc_center
fl,0.468124435149789,ban,0.192008190719776
ga,0.429277380758353,ban,0.155973132865005
ia,0.582641462789501,ban,0.159443209112834
id,0.525481981221619,ban,0.11329849932915
il,0.598231519680837,mandate,0.197544369057595
in,0.484788619154982,ban,0.142773897919766
ks,0.486111865736968,ban,0.165394615955323
ma,0.533861834354566,mandate,0.206956133822594
md,0.533029592093942,mandate,0.199784755942043
mi,0.54901610098267,ban,0.153264550203666
mn,0.634987646228671,mandate,0.185564485545175
mo,0.48761507390514,ban,0.155687738271858
mt,0.530278129083712,ban,0.147164349799543
nc,0.302791447358684,mandate,0.170512417381076
nd,0.517345852171993,ban,0.1512530302966
nh,0.209848945997147,ban,0.189393193141831
nj,0.486129866107636,mandate,0.192209111142544
nm,0.513720643735607,mandate,0.175263792735197
nv,0.437492345754125,mandate,0.166054011395401
ny,0.491202180311963,mandate,0.208384632632218
ok,0.455059055981342,ban,0.157829869419545
or,0.542931500340617,mandate,0.19049490890634
pa,0.459201725699996,mandate,0.183163883773362
sc,0.473670464406856,ban,0.160428566290526
sd,0.462431203924051,ban,0.153825409828912
tn,0.518842980675457,ban,0.155155149283422
tx,0.428716386720869,ban,0.17153065554533
ut,0.459469115189343,ban,0.185153022231657
va,0.531599712774445,mandate,0.201985759783888
vt,0.641601885732891,mandate,0.216084958972891
wa,0.525199289856304,mandate,0.192666825237044
wi,0.607572747474772,mandate,0.169951667559653
wy,0.516318917271756,ban,0.139696604772385
ak,0.492385472099031,ban,0.157641469392733
al,0.457619729070607,ban,0.149628041720875
ar,0.494091385685876,ban,0.162624184468844
az,0.464520763050279,ban,0.175377039481851
ca,0.542865774130545,mandate,0.207968862287373
co,0.581081160669612,mandate,0.198494001850906
ct,0.549262529974416,mandate,0.210634762408803
de,0.502148023080858,mandate,0.188897783825425
fl,0.47679759821654,ban,0.196512874158809
ga,0.44234110019473,ban,0.160814287213978
ia,0.593603880516719,ban,0.162693885490036
id,0.537530078660198,ban,0.148438010436332
il,0.618390188345092,mandate,0.201918855524814
in,0.497396938630339,ban,0.145234681264218
ks,0.499690869793548,ban,0.171105828510924
ma,0.551061890843231,mandate,0.210565646058452
md,0.55026645043724,mandate,0.204192399245896
mi,0.561455596534093,ban,0.156105353416909
mn,0.653840298790989,mandate,0.189185497976674
mo,0.494586616195332,ban,0.158743949510866
mt,0.542689628479508,ban,0.150464007553766
nc,0.309603771500033,mandate,0.174744520970728
nd,0.522388639784352,ban,0.154362136148123
nh,0.219921699657375,ban,0.193036051373595
nj,0.504156940164759,mandate,0.196905052536044
nm,0.529714902424564,mandate,0.180315587103468
nv,0.448210663543964,mandate,0.170990718963095
ny,0.508107007532052,mandate,0.213456511391512
ok,0.463668240155906,ban,0.162038204901196
or,0.566636710696853,mandate,0.193381783943257
pa,0.48200259987892,mandate,0.187246310609986
sc,0.481908801129766,ban,0.165151698894794
sd,0.472203279654052,ban,0.158056987185462
tn,0.525893275056887,ban,0.158476308505745
tx,0.440815701675393,ban,0.176467305051222
ut,0.477468955426972,ban,0.189631586603863
va,0.54045871600976,mandate,0.209325164410033
vt,0.661240805092549,mandate,0.219818126673982
wa,0.547224038766479,mandate,0.198012676441469
wi,0.626154022383405,mandate,0.173756202683807
wy,0.531406819857703,ban,0.148409674277583
ak,0.505517536319852,ban,0.165057899178677
al,0.458180470701201,ban,0.151894322827362
ar,0.491654880871316,ban,0.165150432688301
az,0.475100718779704,ban,0.178889168821954
ca,0.579949133038622,mandate,0.213427569205701
co,0.589580015411593,mandate,0.201379765057842
ct,0.55851497792684,mandate,0.21415098055148
de,0.514965275693855,mandate,0.192476326767651
