state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
nc,0.485283,mandate,-0.0319354609913975
nd,0.499273,ban,-0.0883647586592175
ok,0.404501,ban,-0.0677229690973834
or,0.463896,mandate,0.0587816340124137
pa,0.568917,mandate,0.0284978093631253
sc,0.42323,ban,-0.0679920310142133
sd,0.541882,ban,-0.0313599304612836
tn,0.468919,ban,-0.0959894992828958
tx,0.490712,ban,-0.0347979874597438
ut,0.506892,ban,-0.0254685134423607
vt,0.590588,mandate,0.151820024087268
va,0.583465,mandate,0.0710575550430014
wa,0.531317,mandate,0.0693695918971914
wi,0.51047,mandate,0.0104811502431145
wy,0.35494,ban,-0.126251410885394
al,0.42093,ban,-0.132826802445066
ak,0.392421,ban,-0.0333418141834502
az,0.435941,ban,-0.015765069248858
ar,0.511428,ban,-0.0852126946217167
ca,0.486311,mandate,0.0698332929143417
co,0.580662,mandate,0.0651326899119403
ct,0.66294,mandate,0.142721591748781
de,0.51798,mandate,0.0356726291548178
fl,0.360455,ban,0.0344374929608473
ga,0.455087,ban,-0.0909726723700386
id,0.424795,ban,-0.149482906035792
il,0.503667,mandate,0.0387685519329366
in,0.463666,ban,-0.0842537465967648
ia,0.543977,ban,-0.0160708965679558
ks,0.492614,ban,-0.0302000645259987
md,0.646456,mandate,0.095484045323723
ma,0.676104,mandate,0.135168337705312
mi,0.498201,ban,-0.0359600691333608
mn,0.549692,mandate,0.0490537937030711
mo,0.521855,ban,-0.0707396870320515
mt,0.445793,ban,-0.0680310382787656
nv,0.33336,mandate,-0.0353231799739543
nh,0.604332,ban,0.0653664578819489
nj,0.580941,mandate,0.0788214499917672
nm,0.510702,mandate,0.0612846238156438
ny,0.545172,mandate,0.0976955630938898
nc,0.485283,mandate,-0.0274510027070614
nd,0.499273,ban,-0.0844042976255411
ok,0.404501,ban,-0.0632004408675716
or,0.464876,mandate,0.0625835554176155
pa,0.5694,mandate,0.0327816119579709
sc,0.42323,ban,-0.0623180199658927
sd,0.541882,ban,-0.0268038634308043
tn,0.480875,ban,-0.091923940165418
tx,0.490856,ban,-0.0302041940575915
ut,0.506892,ban,-0.0201651928291132
vt,0.590588,mandate,0.156696356381623
va,0.584977,mandate,0.0808153906885014
wa,0.537206,mandate,0.0759619351411121
wi,0.51047,mandate,0.0139726159504506
wy,0.359843,ban,-0.118261974643256
al,0.42093,ban,-0.127071378205516
ak,0.392421,ban,-0.0272557992590401
az,0.435941,ban,-0.0118302115284589
ar,0.511428,ban,-0.0817991405540752
ca,0.486311,mandate,0.0778256601990323
co,0.580662,mandate,0.0701958829574272
ct,0.667304,mandate,0.146690871360444
de,0.51798,mandate,0.0410441955689841
fl,0.361319,ban,0.0389421763998804
ga,0.455087,ban,-0.0861315180210655
id,0.424795,ban,-0.11434339492861
il,0.503667,mandate,0.043143038400156
in,0.463666,ban,-0.0817929632523132
ia,0.543977,ban,-0.012820220190753
ks,0.492614,ban,-0.0244888519703974
md,0.646456,mandate,0.099891688627576
ma,0.711213,mandate,0.13877784994117
mi,0.498201,ban,-0.0331192659201182
mn,0.549692,mandate,0.052674806134571
mo,0.521855,ban,-0.0676834757930429
mt,0.445793,ban,-0.064731380524543
nv,0.33336,mandate,-0.0303864724062599
nh,0.604332,ban,0.0690093161137125
nj,0.580941,mandate,0.0835173913852668
nm,0.517391,mandate,0.0663364181839149
ny,0.545172,mandate,0.102767441853183
nc,0.485283,mandate,-0.0232188991174093
nd,0.499273,ban,-0.0812951917740188
ok,0.404501,ban,-0.0589921053859209
or,0.464876,mandate,0.0654704304545333
pa,0.58632,mandate,0.0368640387945949
sc,0.42323,ban,-0.0575948873616248
sd,0.541882,ban,-0.0225722860742544
tn,0.480875,ban,-0.0886027809430948
tx,0.503797,ban,-0.0252675445517003
ut,0.529081,ban,-0.015686628456907
vt,0.592033,mandate,0.160429524082713
va,0.584977,mandate,0.088154795314647
wa,0.547113,mandate,0.0813077863455367
wi,0.51047,mandate,0.0177771510746049
wy,0.359843,ban,-0.109548905138058
al,0.453096,ban,-0.124805097099029
ak,0.411634,ban,-0.0198393694730965
az,0.440263,ban,-0.00831808218835661
ar,0.530341,ban,-0.0792728923346189
ca,0.518877,mandate,0.0832843671173604
co,0.611274,mandate,0.073081646164363
ct,0.697026,mandate,0.150207089503122
de,0.51798,mandate,0.0446227385112103
fl,0.389826,ban,0.041733245649516
ga,0.455087,ban,-0.0832536927074052
id,0.437247,ban,-0.0999594652211482
il,0.519174,mandate,0.0480442200088956
in,0.484559,ban,-0.0791923023836438
ia,0.554006,ban,-0.010280522924208
ks,0.512195,ban,-0.0211991134028384
md,0.672032,mandate,0.103879194064601
ma,0.711213,mandate,0.142178763900347
mi,0.538712,ban,-0.0305058897054379
mn,0.582376,mandate,0.0556592505737871
mo,0.547741,ban,-0.0652822117250422
mt,0.47159,ban,-0.0628096655405028
nv,0.33336,mandate,-0.0268150139254311
nh,0.605855,ban,0.0718585172142752
nj,0.629919,mandate,0.0890966823181709
nm,0.530611,mandate,0.0697823597811498
ny,0.572879,mandate,0.107103050720026
nc,0.508545,mandate,-0.0201871943031865
nd,0.523699,ban,-0.0798090333093701
ok,0.42538,ban,-0.0560902604199808
or,0.488635,mandate,0.0680496940156682
pa,0.591267,mandate,0.0406111067112583
sc,0.454428,ban,-0.0548133955662288
sd,0.562739,ban,-0.0195759928934831
tn,0.503483,ban,-0.0862428652164973
tx,0.511577,ban,-0.0213559195613561
ut,0.530228,ban,-0.012166393459016
vt,0.602729,mandate,0.162934667323725
va,0.590088,mandate,0.0908117079523707
wa,0.574107,mandate,0.0845488844221116
wi,0.552579,mandate,0.0210052128370255
wy,0.364779,ban,-0.107424811196494
al,0.453096,ban,-0.122630797918134
ak,0.411634,ban,-0.0108979297382593
az,0.440263,ban,-0.00421315030531722
ar,0.531511,ban,-0.0771373338219555
ca,0.518877,mandate,0.0870833997648317
co,0.611274,mandate,0.0761992977438194
ct,0.697026,mandate,0.154213371511781
de,0.51798,mandate,0.0484429968913051
fl,0.389826,ban,0.0443217112962671
ga,0.455701,ban,-0.0807207172561597
id,0.437247,ban,-0.0977528030090272
il,0.519174,mandate,0.0510133275626791
in,0.484559,ban,-0.0770329378402466
